D_target;pinf;pcont;kk;tt;cc;V_0;V_eff;V_t;lambda_t;P_disease_t;sim;nn
10;0.1;0.6;0.3;5;12;1;0;0;0;7.13049143384881e-05;10_5;20
10;0.1;0.6;0.3;6;12;1;0;0;0;0.000103415006735497;10_5;20
10;0.1;0.6;0.3;7;12;1;0;0;0;0.000146757462412661;10_5;20
10;0.1;0.6;0.3;8;12;1;0;0;0;0.000205260678268981;10_5;20
10;0.1;0.6;0.3;9;12;1;0;0;0;0.000284226330457327;10_5;20
10;0.1;0.6;0.3;10;12;1;0;0;0;0.000390808920069707;10_5;20
10;0.1;0.6;0.3;11;12;1;0;0;0;0.000534662345901604;10_5;20
10;0.1;0.6;0.3;12;12;1;0;0;0;0.00072881132733249;10_5;20
10;0.1;0.6;0.3;13;12;1;0;0;0;0.000990825227285996;10_5;20
10;0.1;0.6;0.3;14;12;1;0;0;0;0.00134439804159914;10_5;20
10;0.1;0.6;0.3;0;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;1;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;2;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;3;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;4;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;5;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;6;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;7;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;8;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;9;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;10;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;11;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;12;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;13;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;14;12;0;0;0;0;0;10_6;20
10;0.1;0.6;0.3;0;12;2;1;1;12;0;10_7;20
10;0.1;0.6;0.3;1;12;2;1;1.349858807576;16.198305690912;1.43306093653983e-05;10_7;20
10;0.1;0.6;0.3;2;12;2;1;1.82211880039051;21.8654256046861;3.36745829269125e-05;10_7;20
10;0.1;0.6;0.3;3;12;2;1;2.45960311115695;29.5152373338834;5.9785622545272e-05;10_7;20
10;0.1;0.6;0.3;4;12;2;1;3.32011692273655;39.8414030728386;9.50307580104282e-05;10_7;20
10;0.1;0.6;0.3;5;12;2;1;4.48168907033806;53.7802688440568;0.000142604744286179;10_7;20
10;0.1;0.6;0.3;6;12;2;1;6.04964746441294;72.5957695729553;0.000206819318807394;10_7;20
10;0.1;0.6;0.3;7;12;2;1;8.16616991256765;97.9940389508118;0.00029349338707263;10_7;20
10;0.1;0.6;0.3;8;12;2;1;11.0231763806416;132.278116567699;0.000410479224591809;10_7;20
10;0.1;0.6;0.3;9;12;2;1;14.8797317248728;178.556780698474;0.000568371876307761;10_7;20
10;0.1;0.6;0.3;10;12;2;1;20.0855369231877;241.026443078252;0.00078146510852739;10_7;20
10;0.1;0.6;0.3;11;12;2;1;27.1126389206579;325.351667047895;0.00106903882797915;10_7;20
10;0.1;0.6;0.3;12;12;2;1;36.598234443678;439.178813324136;0.00145709148871409;10_7;20
10;0.1;0.6;0.3;13;12;2;1;49.4024491055302;592.829389266362;0.00198066871994096;10_7;20
10;0.1;0.6;0.3;14;12;2;1;66.6863310409252;800.235972491102;0.00268698867710393;10_7;20
10;0.1;0.6;0.3;0;12;4;1;1;12;0;10_8;20
10;0.1;0.6;0.3;1;12;4;1;1.349858807576;16.198305690912;2.86610133644061e-05;10_8;20
10;0.1;0.6;0.3;2;12;4;1;1.82211880039051;21.8654256046861;6.73480318763575e-05;10_8;20
10;0.1;0.6;0.3;3;12;4;1;2.45960311115695;29.5152373338834;0.000119567670769927;10_8;20
10;0.1;0.6;0.3;4;12;4;1;3.32011692273655;39.8414030728386;0.000190052485175785;10_8;20
10;0.1;0.6;0.3;5;12;4;1;4.48168907033806;53.7802688440568;0.000285189152459231;10_8;20
10;0.1;0.6;0.3;6;12;4;1;6.04964746441294;72.5957695729553;0.000413595863384075;10_8;20
10;0.1;0.6;0.3;7;12;4;1;8.16616991256765;97.9940389508118;0.000586900635777043;10_8;20
10;0.1;0.6;0.3;8;12;4;1;11.0231763806416;132.278116567699;0.000820789955989887;10_8;20
10;0.1;0.6;0.3;9;12;4;1;14.8797317248728;178.556780698474;0.00113642070602582;10_8;20
10;0.1;0.6;0.3;10;12;4;1;20.0855369231877;241.026443078252;0.00156231952933894;10_8;20
10;0.1;0.6;0.3;11;12;4;1;27.1126389206579;325.351667047895;0.00213693481194255;10_8;20
10;0.1;0.6;0.3;12;12;4;1;36.598234443678;439.178813324136;0.00291205986182175;10_8;20
10;0.1;0.6;0.3;13;12;4;1;49.4024491055302;592.829389266362;0.00395741439130382;10_8;20
10;0.1;0.6;0.3;14;12;4;1;66.6863310409252;800.235972491102;0.00536675744605697;10_8;20
10;0.1;0.6;0.3;0;12;1;1;1;12;0;10_9;20
10;0.1;0.6;0.3;1;12;1;1;1.349858807576;16.198305690912;7.165330353609e-06;10_9;20
10;0.1;0.6;0.3;2;12;1;1;1.82211880039051;21.8654256046861;1.68374332130128e-05;10_9;20
10;0.1;0.6;0.3;3;12;1;1;2.45960311115695;29.5152373338834;2.98932580761191e-05;10_9;20
10;0.1;0.6;0.3;4;12;1;1;3.32011692273655;39.8414030728386;4.75165079144579e-05;10_9;20
10;0.1;0.6;0.3;5;12;1;1;4.48168907033806;53.7802688440568;7.13049143384881e-05;10_9;20
10;0.1;0.6;0.3;6;12;1;1;6.04964746441294;72.5957695729553;0.000103415006735497;10_9;20
10;0.1;0.6;0.3;7;12;1;1;8.16616991256765;97.9940389508118;0.000146757462412661;10_9;20
10;0.1;0.6;0.3;8;12;1;1;11.0231763806416;132.278116567699;0.000205260678268981;10_9;20
10;0.1;0.6;0.3;9;12;1;1;14.8797317248728;178.556780698474;0.000284226330457327;10_9;20
10;0.1;0.6;0.3;10;12;1;1;20.0855369231877;241.026443078252;0.000390808920069707;10_9;20
10;0.1;0.6;0.3;11;12;1;1;27.1126389206579;325.351667047895;0.000534662345901604;10_9;20
10;0.1;0.6;0.3;12;12;1;1;36.598234443678;439.178813324136;0.00072881132733249;10_9;20
10;0.1;0.6;0.3;13;12;1;1;49.4024491055302;592.829389266362;0.000990825227285996;10_9;20
10;0.1;0.6;0.3;14;12;1;1;66.6863310409252;800.235972491102;0.00134439804159914;10_9;20
10;0.1;0.6;0.3;0;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;1;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;2;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;3;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;4;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;5;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;6;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;7;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;8;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;9;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;10;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;11;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;12;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;13;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;14;12;0;0;0;0;0;10_10;20
10;0.1;0.6;0.3;0;12;2;1;1;12;0;10_11;20
10;0.1;0.6;0.3;1;12;2;1;1.349858807576;16.198305690912;1.43306093653983e-05;10_11;20
10;0.1;0.6;0.3;2;12;2;1;1.82211880039051;21.8654256046861;3.36745829269125e-05;10_11;20
10;0.1;0.6;0.3;3;12;2;1;2.45960311115695;29.5152373338834;5.9785622545272e-05;10_11;20
10;0.1;0.6;0.3;4;12;2;1;3.32011692273655;39.8414030728386;9.50307580104282e-05;10_11;20
10;0.1;0.6;0.3;5;12;2;1;4.48168907033806;53.7802688440568;0.000142604744286179;10_11;20
10;0.1;0.6;0.3;6;12;2;1;6.04964746441294;72.5957695729553;0.000206819318807394;10_11;20
10;0.1;0.6;0.3;7;12;2;1;8.16616991256765;97.9940389508118;0.00029349338707263;10_11;20
10;0.1;0.6;0.3;8;12;2;1;11.0231763806416;132.278116567699;0.000410479224591809;10_11;20
10;0.1;0.6;0.3;9;12;2;1;14.8797317248728;178.556780698474;0.000568371876307761;10_11;20
10;0.1;0.6;0.3;10;12;2;1;20.0855369231877;241.026443078252;0.00078146510852739;10_11;20
10;0.1;0.6;0.3;11;12;2;1;27.1126389206579;325.351667047895;0.00106903882797915;10_11;20
10;0.1;0.6;0.3;12;12;2;1;36.598234443678;439.178813324136;0.00145709148871409;10_11;20
10;0.1;0.6;0.3;13;12;2;1;49.4024491055302;592.829389266362;0.00198066871994096;10_11;20
10;0.1;0.6;0.3;14;12;2;1;66.6863310409252;800.235972491102;0.00268698867710393;10_11;20
10;0.1;0.6;0.3;0;12;1;0;0;0;0;10_12;20
10;0.1;0.6;0.3;1;12;1;0;0;0;7.165330353609e-06;10_12;20
10;0.1;0.6;0.3;2;12;1;0;0;0;1.68374332130128e-05;10_12;20
10;0.1;0.6;0.3;3;12;1;0;0;0;2.98932580761191e-05;10_12;20
10;0.1;0.6;0.3;4;12;1;0;0;0;4.75165079144579e-05;10_12;20
10;0.1;0.6;0.3;5;12;1;0;0;0;7.13049143384881e-05;10_12;20
10;0.1;0.6;0.3;6;12;1;0;0;0;0.000103415006735497;10_12;20
10;0.1;0.6;0.3;7;12;1;0;0;0;0.000146757462412661;10_12;20
10;0.1;0.6;0.3;8;12;1;0;0;0;0.000205260678268981;10_12;20
10;0.1;0.6;0.3;9;12;1;0;0;0;0.000284226330457327;10_12;20
10;0.1;0.6;0.3;10;12;1;0;0;0;0.000390808920069707;10_12;20
10;0.1;0.6;0.3;11;12;1;0;0;0;0.000534662345901604;10_12;20
10;0.1;0.6;0.3;12;12;1;0;0;0;0.00072881132733249;10_12;20
10;0.1;0.6;0.3;13;12;1;0;0;0;0.000990825227285996;10_12;20
10;0.1;0.6;0.3;14;12;1;0;0;0;0.00134439804159914;10_12;20
10;0.1;0.6;0.3;0;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;1;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;2;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;3;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;4;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;5;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;6;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;7;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;8;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;9;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;10;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;11;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;12;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;13;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;14;12;0;0;0;0;0;10_13;20
10;0.1;0.6;0.3;0;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;1;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;2;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;3;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;4;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;5;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;6;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;7;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;8;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;9;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;10;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;11;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;12;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;13;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;14;12;0;0;0;0;0;10_14;20
10;0.1;0.6;0.3;0;12;2;1;1;12;0;10_15;20
10;0.1;0.6;0.3;1;12;2;1;1.349858807576;16.198305690912;1.43306093653983e-05;10_15;20
10;0.1;0.6;0.3;2;12;2;1;1.82211880039051;21.8654256046861;3.36745829269125e-05;10_15;20
10;0.1;0.6;0.3;3;12;2;1;2.45960311115695;29.5152373338834;5.9785622545272e-05;10_15;20
10;0.1;0.6;0.3;4;12;2;1;3.32011692273655;39.8414030728386;9.50307580104282e-05;10_15;20
10;0.1;0.6;0.3;5;12;2;1;4.48168907033806;53.7802688440568;0.000142604744286179;10_15;20
10;0.1;0.6;0.3;6;12;2;1;6.04964746441294;72.5957695729553;0.000206819318807394;10_15;20
10;0.1;0.6;0.3;7;12;2;1;8.16616991256765;97.9940389508118;0.00029349338707263;10_15;20
10;0.1;0.6;0.3;8;12;2;1;11.0231763806416;132.278116567699;0.000410479224591809;10_15;20
10;0.1;0.6;0.3;9;12;2;1;14.8797317248728;178.556780698474;0.000568371876307761;10_15;20
10;0.1;0.6;0.3;10;12;2;1;20.0855369231877;241.026443078252;0.00078146510852739;10_15;20
10;0.1;0.6;0.3;11;12;2;1;27.1126389206579;325.351667047895;0.00106903882797915;10_15;20
10;0.1;0.6;0.3;12;12;2;1;36.598234443678;439.178813324136;0.00145709148871409;10_15;20
10;0.1;0.6;0.3;13;12;2;1;49.4024491055302;592.829389266362;0.00198066871994096;10_15;20
10;0.1;0.6;0.3;14;12;2;1;66.6863310409252;800.235972491102;0.00268698867710393;10_15;20
10;0.1;0.6;0.3;0;12;1;0;0;0;0;10_16;20
10;0.1;0.6;0.3;1;12;1;0;0;0;7.165330353609e-06;10_16;20
10;0.1;0.6;0.3;2;12;1;0;0;0;1.68374332130128e-05;10_16;20
10;0.1;0.6;0.3;3;12;1;0;0;0;2.98932580761191e-05;10_16;20
10;0.1;0.6;0.3;4;12;1;0;0;0;4.75165079144579e-05;10_16;20
10;0.1;0.6;0.3;5;12;1;0;0;0;7.13049143384881e-05;10_16;20
10;0.1;0.6;0.3;6;12;1;0;0;0;0.000103415006735497;10_16;20
10;0.1;0.6;0.3;7;12;1;0;0;0;0.000146757462412661;10_16;20
10;0.1;0.6;0.3;8;12;1;0;0;0;0.000205260678268981;10_16;20
10;0.1;0.6;0.3;9;12;1;0;0;0;0.000284226330457327;10_16;20
10;0.1;0.6;0.3;10;12;1;0;0;0;0.000390808920069707;10_16;20
10;0.1;0.6;0.3;11;12;1;0;0;0;0.000534662345901604;10_16;20
10;0.1;0.6;0.3;12;12;1;0;0;0;0.00072881132733249;10_16;20
10;0.1;0.6;0.3;13;12;1;0;0;0;0.000990825227285996;10_16;20
10;0.1;0.6;0.3;14;12;1;0;0;0;0.00134439804159914;10_16;20
10;0.1;0.6;0.3;0;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;1;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;2;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;3;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;4;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;5;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;6;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;7;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;8;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;9;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;10;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;11;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;12;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;13;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;14;12;0;0;0;0;0;10_17;20
10;0.1;0.6;0.3;0;12;2;1;1;12;0;10_18;20
